City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,flin flon,54.7682,-101.865,11.9,91,100,5.39,CA,1690417596
111,utrik,11.2278,169.8474,28.34,78,100,8.49,MH,1690417578
112,udachny,66.4167,112.4,18.03,67,100,4.32,RU,1690417566
113,lethem,3.3803,-59.7968,24.57,91,100,0.89,GY,1690417899
114,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,60,20,3.0,RU,1690417531
115,keflavik,64.0049,-22.5624,10.95,87,75,2.06,IS,1690417485
116,geraldton,-28.7667,114.6,9.23,100,40,3.6,AU,1690417900
117,afaahiti,-17.75,-149.2833,23.93,85,69,3.54,PF,1690417558
118,sinabang,2.4803,96.3801,27.21,79,98,1.02,ID,1690417900
119,kavaratti,10.5669,72.642,27.88,73,100,6.15,IN,1690417577
120,reggane,26.7158,0.1714,39.29,13,42,1.32,DZ,1690417900
121,kristiansund,63.1115,7.732,15.03,94,100,2.57,NO,1690417729
122,betioky,-23.7167,44.3833,12.63,74,0,3.18,MG,1690417900
123,port alfred,-33.5906,26.891,17.14,78,100,6.22,ZA,1690417578
124,mallasamudram,11.4833,78.0333,23.22,89,100,1.94,IN,1690417901
125,hithadhoo,-0.6,73.0833,28.2,78,35,7.36,MV,1690417597
126,odder,55.9731,10.153,14.09,89,99,4.77,DK,1690417901
127,uray,60.1247,64.7758,15.88,83,7,2.14,RU,1690417901
128,leo,11.1,-2.1,24.66,77,29,2.71,BF,1690417901
129,olonkinbyen,70.9221,-8.7187,4.71,90,100,5.03,SJ,1690417530
130,port mathurin,-19.6833,63.4167,23.72,78,74,7.19,MU,1690417539
131,st. john's,47.5649,-52.7093,21.66,74,75,10.29,CA,1690417545
132,ushuaia,-54.8,-68.3,0.81,69,0,3.6,AR,1690417539
133,carnarvon,-24.8667,113.6333,15.61,56,23,5.29,AU,1690417599
134,newman,37.3138,-121.0208,40.19,11,0,6.29,US,1690417572
135,namibe,-15.1961,12.1522,15.84,89,73,2.94,AO,1690417598
136,kushtagi,15.7667,76.2,21.13,95,100,7.49,IN,1690417902
137,mandal,25.45,74.5667,27.37,79,100,3.7,IN,1690417902
138,tacna,-18.0056,-70.2483,15.11,82,100,3.09,PE,1690417902
139,kiunga,-6.1219,141.2906,22.86,91,99,0.97,PG,1690417687
140,horta,38.5333,-28.6333,22.79,95,40,2.68,PT,1690417716
141,haiku-pauwela,20.9219,-156.3051,30.65,62,40,11.32,US,1690417537
142,lompoc,34.6391,-120.4579,22.74,82,100,4.47,US,1690417563
143,blackmans bay,-43.0167,147.3167,11.4,82,98,2.1,AU,1690417539
144,saipan,15.1355,145.701,27.39,100,75,7.2,MP,1690417564
145,necochea,-38.5473,-58.7368,8.7,74,100,7.27,AR,1690417885
146,siddipet,18.1,78.85,22.93,94,100,8.04,IN,1690417903
147,tralee,52.2704,-9.7026,15.73,98,100,3.42,IE,1690417903
148,aasiaat,68.7098,-52.8699,3.29,93,29,3.7,GL,1690417556
149,caucete,-31.6518,-68.2811,11.44,52,58,0.75,AR,1690417904
150,polyarnyy,69.1989,33.4478,10.08,97,100,1.27,RU,1690417605
151,fortuna,40.5982,-124.1573,19.95,70,0,7.2,US,1690417904
152,camana,-16.6228,-72.7111,17.24,87,71,3.19,PE,1690417599
153,gamba,-2.65,10.0,20.64,96,35,1.66,GA,1690417904
154,puerto ayora,-0.7393,-90.3518,24.75,93,88,3.13,EC,1690417533
155,hasaki,35.7333,140.8333,32.94,74,14,4.67,JP,1690417906
156,talnakh,69.4865,88.3972,22.34,61,50,2.4,RU,1690417559
157,kantunilkin,21.0917,-87.45,28.29,70,1,2.69,MX,1690417907
158,alaghsas,17.0187,8.0168,31.58,36,55,2.88,NE,1690417569
159,iqaluit,63.7506,-68.5145,7.85,81,40,1.03,CA,1690417551
160,nouadhibou,20.931,-17.0347,22.58,76,88,12.21,MR,1690417588
161,sidi ifni,29.3797,-10.173,19.35,88,53,4.97,MA,1690417908
162,tofol,5.3248,163.0078,30.88,70,75,4.12,FM,1690417908
163,portland,45.5234,-122.6762,29.75,34,40,5.66,US,1690417251
164,mount pearl,47.5166,-52.7813,21.19,74,75,10.29,CA,1690417585
165,novyy urengoy,66.0833,76.6333,19.88,67,61,2.4,RU,1690417600
166,howard springs,-12.497,131.047,23.79,29,78,2.77,AU,1690417581
167,kon tum,14.35,108.0,23.28,95,93,1.0,VN,1690417909
168,madang,-5.2246,145.7966,30.4,55,58,0.61,PG,1690417909
169,kailua-kona,19.6406,-155.9956,29.98,80,75,6.17,US,1690417909
170,kangundo,-1.2979,37.3471,11.55,90,46,1.05,KE,1690417909
171,carthage,36.8611,10.3316,24.74,65,0,3.6,TN,1690417749
172,anadyr,64.75,177.4833,12.28,87,75,6.0,RU,1690417548
173,vila franca do campo,37.7167,-25.4333,20.23,84,21,2.0,PT,1690417726
174,suntar,62.1444,117.6319,18.12,58,100,3.82,RU,1690417910
175,amungan,15.3652,119.9582,27.44,88,100,8.79,PH,1690417910
176,brisas de zicatela,15.8369,-97.0419,30.29,58,100,3.09,MX,1690417910
177,tevriz,57.509,72.4042,14.95,89,67,1.89,RU,1690417590
178,chonchi,-42.6128,-73.8092,7.84,97,100,0.89,CL,1690417578
179,atafu village,-8.5421,-172.5159,28.58,74,56,8.09,TK,1690417542
180,hamilton,39.1834,-84.5333,30.34,70,75,7.2,US,1690417415
181,okha,53.5739,142.9478,14.04,96,100,1.98,RU,1690417911
182,alofi,-19.0595,-169.9187,23.94,69,73,2.06,NU,1690417570
183,daru,-9.0763,143.2092,26.17,81,40,7.78,PG,1690417833
184,callington,50.5015,-4.3131,16.6,98,100,2.24,GB,1690417911
185,contamana,-7.3333,-75.0167,27.02,60,75,1.25,PE,1690417911
186,meadow lakes,61.6247,-149.6011,21.09,69,100,0.89,US,1690417912
187,kirando,-7.4167,30.6,21.12,48,87,3.39,TZ,1690417912
188,noumea,-22.2763,166.4572,22.22,99,90,8.0,NC,1690417569
189,conceicao da barra,-18.5933,-39.7322,20.35,82,2,1.75,BR,1690417912
190,ailuk,10.2197,169.9797,28.16,79,100,7.51,MH,1690417912
191,menongue,-14.6585,17.691,12.57,42,5,1.86,AO,1690417562
192,iskateley,67.6803,53.1512,16.96,70,92,1.26,RU,1690417552
193,isafjordur,66.0755,-23.124,7.12,85,84,4.64,IS,1690417492
194,ust-tsilma,65.441,52.1498,14.51,87,100,1.41,RU,1690417913
195,chadron,42.8294,-102.9999,37.82,14,0,2.57,US,1690417634
196,dzuunharaa,48.8523,106.4579,19.36,70,50,1.73,MN,1690417913
197,uturoa,-16.7333,-151.4333,25.66,84,57,4.45,PF,1690417563
